word,gramatica,defini,en,eo,es,fr,capital,nota,vide,orijina,tasonomia,pronuncia,simbol,usa,an,da,de,gl,he,mt,ru
letera,nom linguistica,un sinia cual representa un o plu de la sonas usada per parla; un de la simboles de un alfabeta; un comunica scriveda,letter (alphabet,NA,carta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brev,Brief,NA,NA,NA,NA
caje de avia,nom,NA,birdcage,NA,NA,cage d'oiseau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: כלוב ציפורים,NA,NA
marea,nom astronomia tera,la leva e cade de la mar par la atrae de la Luna e la Sol,tide,NA,marea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tidevand,Gezeiten,NA,NA,NA,NA
encarga,nom,NA,commission,NA,responsabilidad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ansvar,Verantwortung,NA,NA,NA,NA
alga min,ajetivo,NA,a little less,NA,NA,un peu moins de,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קצת פחות,NA,NA
angusante,ajetivo,NA,distressing,NA,NA,angoissant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מייסר,NA,NA
madrin,ajetivo,NA,motherly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
formica,nom artropodo,un inseto peti,ant,NA,hormiga,NA,NA,NA,NA,NA,Formicidae,NA,NA,NA,NA,myre,Ameise,NA,NA,NA,NA
filis aletin,nom planta,NA,bracken,NA,NA,NA,NA,NA,NA,NA,Pteridium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
capeles erisin,nom plural,NA,spiked hair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: תספורת קוצים,NA,NA
completa,ajetivo,con tota partes nesesada o conveninte; intera; finida,complete,NA,completo,complet,NA,NA,NA,NA,NA,NA,NA,NA,NA,hel,ganz,NA,he: שלם,NA,NA
oura (coda),NA,NA,anura (amphibian),NA,NA,anoure,NA,NA,NA,NA,Anura,NA,NA,NA,NA,NA,NA,NA,he: סדרה של דו-חיים,NA,NA
crema de ovos,nom,NA,custard,NA,NA,crème anglaise,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: חביצה,NA,NA
phone (sona),NA,NA,antiphon (music),NA,NA,antiphon (musique),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אנטיפון,NA,NA
bresonica,nom,NA,Breton (person,NA,NA,Breton (personne),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: ברטוני,NA,NA
compilor,nom,NA,compiler (person),NA,NA,compilateur (personne),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מכנס,NA,NA
metron (mesura),NA,NA,anthropometry,NA,NA,anthropométrie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אנתרופומטריה,NA,NA
cuci,nom informatica,un dato enviada par un servador a un surfador,cookie (web),NA,NA,cookie (informatique),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (מחשבים) קוקית,NA,NA
axia,nom util,un util simil a un axa,adze (tool),NA,NA,herminette,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קרדום,NA,NA
conca de strombo,nom,NA,conch shell,NA,NA,coquille de conque,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קונכייה ספירלית,NA,NA
cor de pais,nom,NA,heartland,NA,NA,le centre d'un pays,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: ארץ ליבה,NA,NA
indica,nom,NA,indication; clue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
retarda,verbo transitiva siensa-umana,fa ce (un person o cosa) no progresa o developa en la modo normal,retard,prokrasti,demorar,retarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,tilbageholde,verzögern,NA,NA,NA,NA
aneto,nom planta cosini medica,un erba bonodorosa en familia de persil,dill (plant),NA,NA,aneth (plante),NA,NA,NA,NA,Anethum graveolens,NA,NA,NA,NA,NA,NA,NA,he: שמיר,NA,NA
aa,corti,ante aora,before now,antaŭ nun,hace...,il y a... (avant maintenant),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(קיצור) לפני,NA,ru: до сего (этого) момента
fada realida,nom,NA,fait accompli,NA,hecho consumado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
camera video,nom,NA,video camera,NA,NA,caméra vidéo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מצלמת וידאו,NA,NA
eliotropo,ajetivo,un purpur pal,heliotrope (color|ur),NA,NA,héliotrope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: סגול בהיר,NA,NA
bal de futbal,nom,NA,football,NA,balón de fútbol,ballon de football,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: כדור פוטבול,NA,NA
cmer,nom,NA,Khmer (person,NA,NA,Khmer (personne); khmer (langue),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: חמר (קבוצה אתנית,NA,NA
jigante,ajetivo,con multe plu grandia,giant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
asida barbiturica,nom cimica,un asida organica sinteseda,barbituric acid,NA,NA,acide barbiturique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: חומצה ברביטורטית,NA,NA
taliapaper,nom verbo-nom,un cotel nonagu per abri envelopas o pajes nontaliada de libros,paper knife,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nonasentuada,ajetivo,NA,unstressed,NA,NA,inaccentué,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לא מודגש,NA,NA
tono completa,nom,NA,whole note,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cual de mundo?,espresa,NA,what on earth?,NA,NA,que diable... ?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מה לכל הרוחות?,NA,NA
xico de cor,nom,la mas en un relata de ama ante sposi,boyfriend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
avia de acua,nom,NA,waterbird,NA,NA,oiseau d'eau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: עוף מים,NA,NA
sitadani,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dito de anelo,nom,NA,ring finger,NA,NA,annulaire (doigt),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קמיצה,NA,NA
forti,verbo nontransitiva,NA,grow strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cris,nom util,un daga de Malaisia o Indonesia con lamina ondin,kris (dagger),NA,NA,kriss,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קריס (פגיון),NA,NA
aidamemoria,nom verbo-nom,un nota per fa ce on recorda,reminder,memorigilo,NA,aide-mémoire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: תזכורת,NA,NA
brun oranin,nom,NA,tawny,NA,NA,fauve (couleur),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: חום-צהבהב,NA,NA
de marmo,ajetivo,NA,(made of) marble,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fotomanica,ajetivo arte,zelosa sur fotografia,enthusiastic about photography,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xica de cor,nom,la fema en un relata de ama ante sposi,girlfriend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
conduta,verbo transitiva fisica,transmete direta (caldia,conduct (energy),NA,NA,transmettre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להוליך,NA,NA
dito peti,nom,NA,little finger,NA,NA,auriculaire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: זרת,NA,NA
fabricada,ajetivo,NA,manufactured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tortor,nom,NA,pastry baker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
avo,nom,la padre de un padre o madre,grandfather,NA,NA,grand-père,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: סב,NA,NA
eda de petra,nom,NA,stone age,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: תקופת האבן,NA,NA
barco teatral,nom veculo,NA,showboat,NA,NA,bateau-théâtre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: ספינת שעשועים,NA,NA
"k
.Kalahari",simbol,la letera 11 de la alfabeta roman,k,NA,k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
campo de ris,nom,NA,paddy,NA,NA,rizière,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שדה אורז,NA,NA
trasa,nom,NA,tracing; trace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
disputosa,nom,NA,curmudgeon,NA,NA,chicaneur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: וכחן,NA,NA
coleo,nom,un planta tropical de Asia sude-este en familia de menta,coleus (plant),NA,NA,plectranthe (plante),NA,NA,NA,NA,Solenostemon,NA,NA,NA,NA,NA,NA,NA,he: נדנונית,NA,NA
como lo vade?,espresa,NA,how are you?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
carne fumida,nom,NA,smoked meat,NA,NA,(de la) viande fumée,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: בשר מעושן,NA,NA
uculele,nom musica,un gitar peti con cuatro cordetas,ukulele (guitar),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xolotl (servor),NA,NA,axolotl (amphibian),NA,NA,axolotl (zoologie),NA,NA,NA,NA,Ambystoma mexicanum,NA,NA,NA,NA,NA,NA,NA,he: אקסולוטל מקסיקני (דו-חי),NA,NA
asemblable,ajetivo,NA,self-assembly,NA,NA,à assembler soi-même,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שניתן להרכבה עצמית,NA,NA
diatomea,nom biolojia,un alge uniselulal,diatom (organism),NA,NA,diatomée (organisme),NA,NA,NA,NA,Bacillariophyceae,NA,NA,NA,NA,NA,NA,NA,he: אצה צורנית,NA,NA
come de sera,nom,NA,supper,NA,cena,dîner,NA,NA,NA,NA,NA,NA,NA,NA,NA,aftensmad,Abendessen,NA,he: ארוחת ערב,NA,NA
americani,verbo nontransitiva,NA,Americanize|is,NA,NA,américaniser,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לעבור אמריקניזציה,NA,NA
dansce,nom demonim,NA,Dane; Danish,NA,NA,Danois (personne); danois (langue),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,דני,NA,ru: датчанин
coreti,verbo nontransitiva,NA,become correct,NA,NA,devenir correct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להפוך לתקין (ללא שגיאות),NA,NA
calda e seca,ajetivo,NA,hot and dry,NA,NA,torride,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: חם ויבש,NA,NA
composada,ajetivo,NA,composed,NA,NA,composé,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מורכב (מחלקים נפרדים); (מספר) מרוכב,NA,NA
xicle,nom veste,un goma sudada par sapotas,chicle (latex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can regalada,nom,NA,lapdog (dog,NA,NA,toutou,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: כלב קטן; אדם כנוע,NA,NA
noncomunia,nom,NA,unusualness,NA,NA,originalité,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אקסצנטריות,NA,NA
freno de mano,nom,NA,handbrake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
curva ornosa,nom,NA,flourish,NA,floritura,fioriture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: עיטור מעוקל,NA,NA
cavalo de corsa,nom,NA,racehorse,NA,NA,cheval de course,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: סוס מרוץ,NA,NA
tabule,nom cosini,un salada de bulgur,tabbouleh (food),NA,tabule,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ascondeda,ajetivo,NA,hidden,NA,NA,caché,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מוחבא,NA,NA
revide,verbo transitiva,NA,see again,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
efedra,nom planta,un arboreta perene de zonas calda e seca,ephedra (plant),NA,NA,éphèdre (plante),NA,NA,NA,NA,Ephedra,NA,NA,NA,NA,NA,NA,NA,he: שרביטן (צמח),NA,NA
fri,verbo nontransitiva,NA,cool,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vive en felisia,verbo,NA,live in happiness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fosili,verbo nontransitiva,NA,fossilize|is,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
floco de mais,nom,NA,cornflake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ambientiste,nom,NA,environmentalist,NA,NA,environnementaliste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: פעיל איכות הסביבה,NA,NA
casa de locos,nom,NA,madhouse,NA,NA,asile de fous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: בית משוגעים,NA,NA
emplea,verbo transitiva mone,furni labora a (algun) e paia a el per lo,employ (person),NA,NA,employer (une personne),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להעסיק,NA,NA
table de vende,nom,NA,sales counter,NA,mostrador de ventas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cosa,ajetivo demonim,pertinente a un popla de Sudafrica o a sua lingua,Xhosa (person,NA,NA,xhosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קוסה (עם,NA,NA
contracusa,nom,NA,counteraccusation,NA,NA,contre-accusation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אשמת נגד,NA,NA
alidada,nom astronomia util,un aparato per determina dirijes o mesura angulos,alidade (device),NA,NA,alidade (instrument),NA,NA,NA,de arabi al-idada (raio jirante),NA,NA,NA,NA,NA,NA,NA,NA,he: מכשיר למדידת מרחק,NA,NA
nonegali,verbo transitiva,NA,make unequal,NA,NA,rendre inégal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לגרום לאי-שוויון,NA,NA
Rio Amazona,nom jeografial,un rio en America Sude cual flue tra aprosima 6700km en Peru,Amazon River,NA,NA,Amazone (fleuve),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: נהר האמזונס,NA,NA
avia de tona,nom,NA,thunderbird,NA,NA,oiseau-tonnerre (mythologie),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (מיתולוגיה אינדיאנית) ציפור הרעם,NA,NA
desculpa,verbo transitiva,NA,exculpate,NA,NA,disculper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לזכות,NA,NA
diafania,nom,NA,translucency,NA,NA,diaphanéité,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שקיפות חלקית,NA,NA
campa de mata,nom,NA,death camp,NA,NA,camp de la mort,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מחנה השמדה,NA,NA
caprimuljo,nom avia,un avia noturna e insetivor con plumas grisin brun,goatsucker,NA,NA,engoulevent (oiseau),NA,NA,NA,NA,Caprimulgidae,NA,NA,NA,NA,NA,NA,NA,he: תחמס (ציפור),NA,NA
jenerali,verbo transitiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lobe fronte,nom,NA,frontal lobe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
seda de arania,nom,NA,spider silk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
descrusa,verbo transitiva,NA,uncross (arms,NA,NA,décroiser (les bras,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לפשוט (ידיים,NA,NA
oculo de sol,nom,NA,sunglasses,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bal de foco,nom,NA,fireball,NA,bola de fuego,boule de feu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: כדור אש,NA,NA
abaia,verbo transitiva,cria forte e subita,bark; squawk,boji,ladrar,aboyer,NA,NA,NA,NA,NA,NA,NA,abaia un comanda,NA,NA,NA,NA,לנבוח,NA,ru: лаять; каркать; кричать (о чайках)
contusa serebral,nom,NA,concussion,NA,NA,commotion cérébrale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: זעזוע מוח,NA,NA
adolese,verbo nontransitiva siensa-umana,(un person) developa de un enfante a un adulte,be a teenager,adoleski,NA,passer son adolescence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לעבור את גיל ההתבגרות,NA,NA
coisan,nom,NA,Khoisan (person,NA,NA,Khoïsan (personne),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קויסן (אדם,NA,NA
vesteria,nom,NA,dressing room,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
majia de mano,nom,NA,sleight of hand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
junta,verbo transitiva,lia,join together,NA,agregar,NA,NA,No usa `junta X` per sinifia `deveni un membro de X`. Dise `junta se a X`.,NA,NA,NA,NA,NA,NA,NA,samle,hinzufügen,NA,NA,NA,NA
Mar Antartica,nom jeografial,NA,Antarctic Ocean,NA,NA,océan Antarctique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: האוקיינוס הדרומי,NA,NA
banda de oios,nom,NA,blindfold,NA,NA,bandeau (sur les yeux),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: כיסוי עיניים,NA,NA
bisc,nom cosini,un sopa cremosa de crustaseos pureda,bisque (soup),NA,NA,bisque (soupe),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: ביסק (מרק),NA,NA
fem de casa,nom,NA,housewife,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
falsa,nom,NA,fake (thing),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
eparina,nom medica,un composada en la figato e otra texedas cual redui la coagula de sangue; un medisin con la mesma efetos,heparin (medical),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tsernagorsce,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"majoran
.Makasar",nom planta,un planta en familia de menta,marjoram (plant),NA,NA,origan,NA,NA,NA,NA,Origanum majorana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
autori,verbo transitiva,dona autoria a,authorize|is,NA,NA,mandater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להסמיך,NA,NA
contracusa,verbo transitiva,NA,recriminate,NA,NA,contre-accuser,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להטיח אשמת נגד,NA,NA
dual,ajetivo,NA,dual (grammar),NA,NA,duel (grammaire),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (בלשנות) זוגי,NA,NA
me-no-sabe-lo,nom,NA,je ne sais quoi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bal de canon,nom,NA,cannonball,NA,bala de cañón,boulet de canon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: כדור תותח,NA,NA
aparte misera,nom,NA,tenement,NA,chabola,taudis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דירה מרופטת,NA,NA
corti la erba,verbo,NA,cut the grass,NA,NA,tondre l'herbe | le gazon | la pelouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לכסח את הדשא,NA,NA
completi,verbo transitiva,NA,complete,NA,NA,parfaire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להשלים,NA,NA
corno de abunda,nom,NA,cornucopia,NA,NA,corne d'abondance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קרן השפע,NA,NA
filo lamosa,nom,NA,razor wire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tafeta,nom veste,un seda delicata e briliante,taffeta (fabric),NA,tafetán,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xeferia,nom,un loca sentral per maneja un organiza,headquarters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
entre cual,espresa,NA,between which,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
engrana mor,nom,NA,neutral (gear),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,nom jeografial,un stato en la SUA norde-ueste,Washington (US state,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
conveni,nom,NA,suitability,NA,NA,convenance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: התאמה,NA,NA
alosa arengin,nom pex,un pex de la Mar Atlantica norde-ueste,alewife,NA,NA,gaspareau (poisson),NA,NA,NA,NA,Alosa pseudoharengus,NA,NA,NA,NA,NA,NA,NA,he: דג דומה להרינג,NA,NA
balcon media,nom,NA,mezzanine,NA,NA,mezzanine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קומת ביניים,NA,NA
falsi,verbo nontransitiva,NA,become false; be faked,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
campo de gera,nom,NA,battlefield,NA,NA,champ de bataile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שדה קרב,NA,NA
stoma (boca),NA,NA,anastomosis (anatomy),NA,NA,anastomose (anatomie),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (אנטומיה) השקה (חיבור בין שני איברים צינוריים),NA,NA
capitolio,nom governa,un construida per consentas de legores nasional,capitol (building),NA,NA,le Capitole (édifice),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קפיטול (בניין הקונגרס),NA,NA
aparato dental,nom,NA,brace (teeth),NA,aparato dental,appareil dentaire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: גשר לשיניים,NA,NA
fonte de rio,nom,NA,headwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bon acaso,nom,un bon aveni nonpredisable,happy chance,feliĉa hazardo,NA,opportunité,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מקרה של מזל טוב,NA,NA
duto sangual,nom anatomia,NA,blood vessel,NA,vaso sanguíneo,vaisseau sanguin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: כלי דם,NA,NA
caloria peti,nom,la enerjia cual alti la temperatur de un gram de acua par un grado de celsius,small calorie,NA,NA,petite calorie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קלוריה קטנה,NA,NA
sin borda,nom,NA,borderless,NA,NA,sans bordure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: ללא גבולות,NA,NA
duna de neva,nom,NA,snowdrift,NA,NA,congère,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: תלולית שלג,NA,NA
nonmodosa,ajetivo,NA,unfashionable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
caramel mol,nom,NA,fudge,NA,NA,caramel mou,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: פאדג' (ממתק),NA,NA
cura prima,nom,NA,primary care,NA,NA,premiers soins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: רפואה ראשונית,NA,NA
distinguinte,ajetivo,NA,selective,NA,NA,sélectif,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: בררני,NA,NA
jira minima,verbo,NA,idle (engine),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pesca,nom planta cosini,un fruta ronda con seme grande,peach (fruit),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
veliador,nom util,NA,alarm clock,vekhorloĝo,NA,réveil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wecker,NA,NA,NA,ru: будильник
completa,nom,un cosa completa; un colie de vestes de la mesma stofa,whole; suit,NA,NA,complet (vêtement),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מכלול; חליפה,NA,NA
basa de catran,ajetivo,NA,low in tar,NA,NA,à faible teneur en goudron (cigarette),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דל עטרן,NA,NA
gnostos (sabe),NA,NA,agnostic,agnostika,NA,agnostique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אגנוסטי,NA,NA
djuang,ajetivo,pertinente a un etnico de Guangxi en Xina sude,Zhuang (person,NA,NA,zhuang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: ז'ואנג (עם,NA,NA
xuta con arco,nom,NA,archery,NA,tiro con arco,tir à l'arc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קשתות,NA,NA
