word,gramatica,defini,en,eo,es,fr,capital,nota,vide,orijina,tasonomia,pronuncia,simbol,usa,an,da,de,gl,he,mt,ru,word_id,sim
pone un limita,verbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5005,NA
la plu nova,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6059,NA
sumaco venenosa,nom planta,un jenero de anacardios cual secrete un olio iritante cual pote causa dermatite,NA,NA,NA,NA,NA,NA,NA,NA,Toxicodendron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8671,NA
putri,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7375,NA
conjesta de trafica,nom,NA,traffic congestion,NA,NA,embouteillage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: עומס תנועה,NA,NA,2039,NA
articula,nom,NA,articulation,NA,NA,articulation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מפרק,NA,NA,618,NA
dejeta,nom,NA,disposal,NA,NA,rejet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: זריקה (לפח),NA,NA,2551,NA
disposa mental,nom,NA,mental attitude,NA,NA,disposition mentale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דפוס חשיבה,NA,NA,2764,NA
ofendente,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6121,NA
indica e clica,verbo transitiva informatica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4378,NA
familia real,nom,NA,royal family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3468,NA
caliante,ajetivo,NA,curdling,NA,NA,ferment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (חלב) החמצה,NA,NA,1429,NA
desneblador,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5913,NA
de ci ... sua,espresa,NA,whose,NA,NA,dont,NA,NA,NA,NA,NA,NA,NA,la fem de ci tu ia trova sua clave es mea fia,NA,NA,NA,NA,he: של מי,NA,NA,1743,NA
entomolojia,nom biolojia,la ramo de zolojia cual studia insetos,entomology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3156,NA
arceolojia,nom siensa-umana istoria,la studia de istoria e preistoria umana par la escava de locas e la analise de fabricadas e otra restantes fisical,archeology|ae,NA,NA,archéologie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: ארכאולוגיה,NA,NA,542,NA
ambivalente,ajetivo,NA,ambivalent,NA,NA,ambivalent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אמביוולנטי,NA,NA,271,NA
pulsa,verbo nontransitiva biolojia,(arterias) palpita ritmosa cuando la sangue move tra los,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7348,NA
texeta,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8980,NA
clari,verbo nontransitiva,NA,become clear,NA,NA,s'éclaircir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להתבהר,NA,NA,1798,NA
palpa,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6434,NA
sopa de vejetal,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8420,NA
academial,ajetivo,pertinente a educa e aprende,academic,akademia,académico,académique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אקדמי,NA,NA,38,NA
rompelia,nom verbo-nom,un modo de deside un ganior entre competores con puntos egal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7697,NA
duxal,ajetivo,NA,ducal,NA,ducal,ducal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דוכסי,NA,NA,2886,NA
criminor,nom,NA,criminal,NA,NA,criminel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: פושע,NA,NA,2313,NA
txili con carne,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9337,NA
anabatiste,ajetivo,NA,Anabaptist,NA,NA,anabaptiste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אנאבפטיסט,NA,NA,323,NA
nontransparente,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9142,NA
industani,ajetivo linguistica,un grupo de dialetos parlada en Barat norde-ueste e Pacistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4392,NA
de denim,ajetivo,NA,(made of) denim,NA,NA,en denim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: עשוי מדנים,NA,NA,2579,NA
jeografia,nom tera,la studia de la cualias de la Tera e sua atmosfera,geography,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4707,NA
San Nicolas,nom istoria relijio,un bispo de Mira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7827,NA
priapisme,nom medica,un erije persistente e dolosa de la penis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7193,NA
sesiste,nom,NA,sexist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8141,NA
careria,nom,NA,carriage house,NA,NA,remise (bâtiment),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: בית כרכרות,NA,NA,1604,NA
secretor,nom,NA,secretary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7977,NA
-in,sufisa nom cimica,idrocarbono nonsaturada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4361,NA
nanomedica,nom,la usa de nanotecnolojia per diagnose,nanomedicine,NA,nanomedicina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5877,NA
monolito,nom tera,un roca grande e vertical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5699,NA
viscosia,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9669,NA
peti,verbo nontransitiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6780,NA
acusa,verbo transitiva governa,dise ce (algun) ia ofende o fa un crimin,accuse,akuzi,NA,accuser,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להאשים,NA,NA,80,NA
si desirada,averbo,NA,optional,NA,NA,éventuellement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אופציונלית,NA,NA,2616,NA
sinia de tabli,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8268,NA
laboror migrante,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4816,NA
disolve,verbo nontransitiva cimica,(un solida) misca con un licuida e deveni un parte de lo; (metafor) fonde o desintegra,dissolve,NA,disolver,dissoudre,NA,NA,NA,NA,NA,NA,NA,NA,NA,opløse,auflösen,NA,he: להתמוסס; להתפזר,NA,NA,2759,NA
clorantasea,nom planta,un planta tropical con folias perene verde con bacas roja ma sin flores,chloranthaceae,NA,NA,chloranthacée (plante),NA,NA,NA,NA,Chloranthaceae,NA,NA,NA,NA,NA,NA,NA,he: צמח ממשפחת הכלורנתיים,NA,NA,1832,NA
degradante,ajetivo,NA,degradable,NA,degradable,dégradable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מתכלה,NA,NA,2548,NA
elinica pithekos (primate),NA,NA,australopithecus (primate),NA,NA,australopithèque,NA,NA,NA,NA,Australopithecus,NA,NA,NA,NA,NA,NA,NA,he: אוסטרולופיתקוס,NA,NA,781,NA
Isolas Virjin,nom plural jeografial,un grupo de isolas en la Mar Caribe norde-este,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9660,NA
unia,nom mone,un cosa o person individua e completa cual pote es ance un composante de un cosa plu grande o plu complicada; un cuantia de mesura elejeda como un model per espresa otra cuantias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9413,NA
loto,nom sporte,un jua en cual juores compra biletas numerida e el ci ave un numero acaso elejeda reseta un premio; un jua en cual numeros acaso es clamada e juores marca estas a cartas per completi linias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5103,NA
cala,nom planta,un planta en familia de arum,calla lily,NA,NA,calla (plante),NA,NA,NA,NA,Calla palustris,NA,NA,NA,NA,NA,NA,NA,he: קלה (צמח),NA,NA,1410,NA
crema rojinte,nom,NA,rouge,NA,NA,fard (cosmétique),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: סומק,NA,NA,2289,NA
intramural,ajetivo,locada o aveninte a interna de un mur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4479,NA
cronometri,verbo transitiva,NA,time,NA,NA,chronométrer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: למדוד זמן,NA,NA,2360,NA
tacle,verbo transitiva sporte,(en rugbi e futbal american) para la move de (la juor ci posese la bal) par saisi el e forsa el a la tera; (en futbal internasional) atenta prende la bal de (un oposor) par intersepi el,tackle (sport),NA,placar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8743,NA
ecletica,ajetivo filosofia,derivante ideas o stilo de fontes diversa e vasta; (en filosofia) pertinente a un grupo de filosofistes antica ci ia eleje ideas de fontes diversa en loca de segue un scola,eclectic,NA,NA,éclectique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אקלקטי,NA,NA,2906,NA
risca biolojial,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7646,NA
ojetal,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6136,NA
egoverna,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4039,NA
colabora,nom,NA,collaboration,NA,NA,collaboration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שיתןף פעולה,NA,NA,1891,NA
elejente,ajetivo,NA,discriminating,NA,NA,plein de discernement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: בררן,NA,NA,2981,NA
formula,verbo transitiva matematica,crea (un proposa o stratejia) en modo metodosa; espresa (un idea) en modo sistemosa e esata,formulate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3712,NA
flatule,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3638,NA
damin,ajetivo,NA,ladylike,NA,damenhaft,à la façon d'une lady|dame,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שהולם גברת,NA,NA,2503,NA
sento,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8075,NA
idoli,verbo nontransitiva,NA,be idolized|is,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4263,NA
sucultur,nom,un grupo distinguida en un cultur plu grande,subculture,NA,NA,sous-culture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: תת-תרבות,NA,NA,2438,NA
episodial,ajetivo,NA,episodic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3200,NA
duxesa,nom,NA,duchess,NA,duquesa,duchesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דוכסית,NA,NA,2886,NA
boteleta,nom,NA,phial,NA,NA,flacon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: בקבוקון,NA,NA,1238,NA
ambos de nos,espresa,NA,both of us,NA,NA,nous deux,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שנינו,NA,NA,274,NA
sta,verbo transitiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8512,NA
sutur,nom medica,un punto o serie de puntos de filo cual teni la bordas de un feri o talia sirurjial; la filo usada per esta; la junta nonmovable e costurin entre du osos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8723,NA
pasta de dentes,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6603,NA
tapaculo,nom avia,un avia de America Sude,NA,NA,NA,NA,NA,NA,NA,NA,Rhinocryptinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8800,NA
matas per venja,nom plural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5346,NA
fasil aprendable,ajetivo,NA,easily learned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3495,NA
mareada,ajetivo,NA,dizzy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5285,NA
caodai,ajetivo relijio,pertinente a un relijio monoteiste instituida en 1926 en Vietnam sude,Cao Dai; Caodaist,NA,NA,caodaïste (religion),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (דת) קאודיסט,NA,NA,1517,NA
boni,verbo transitiva,NA,improve,NA,NA,améliorer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לשפר,NA,NA,1209,NA
auguria,nom,NA,augury,NA,NA,augures,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אות,NA,NA,773,NA
limita masima,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5005,NA
mediciste comensante,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5378,NA
silentia,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8216,NA
libraliste,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4971,NA
sopa de pavo,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8420,NA
asero,nom planta,un arbor con folias lobosa,maple,NA,NA,érable,NA,NA,NA,NA,Acer,NA,NA,NA,NA,NA,NA,NA,he: אדר,NA,NA,654,NA
bandana,nom veste,un teleta grande e colorosa,bandana,NA,NA,bandana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: בנדנה,NA,NA,918,NA
triton,nom amfibio,un amfibio peti e magra con pulmones e un coda,newt,NA,NA,NA,NA,NA,NA,NA,Pleurodelinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9223,NA
constante,nom,NA,constant,NA,NA,constante; coefficient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קבוע; מקדם,NA,NA,2072,NA
jelosa,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4674,NA
xaman,nom relijio mitolojia,un person sur ci on crede ce el es capas de comunica con spiritos per influe avenis mundal,shaman,ŝamano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9746,NA
artisan,nom,un laboror capas de fabrica cosas par mano,artisan,NA,NA,artisan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אומן,NA,NA,621,NA
anglosason,ajetivo demonim istoria,pertinente a la abitores germanica de England o sua lingua,Anglo-Saxon,NA,NA,anglo-saxon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אנגלו-סקסי,NA,NA,378,NA
lingua franca nova,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5013,NA
flirtor,nom,NA,flirt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3647,NA
sira de abea,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8295,NA
contraterorisme,nom governa,ativias political o militar desiniada per preveni o oposa terorisme,counterterrorism,NA,NA,antiterrorisme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לוחמה בטרור,NA,NA,2119,NA
studiante de anio du,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8607,NA
ambivale,verbo nontransitiva siensa-umana,senti emosias miscada o contradisente,be ambivalent,NA,NA,être ambivalent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להרגיש אמביוולנטי,NA,NA,271,NA
individua,nom,NA,individual,NA,individuo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,individ,NA,NA,NA,NA,NA,4383,NA
romeo,nom,un mas atraosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7693,NA
glu-glu,esclama onomatopea,la sona fada par un pavo o pavon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4001,NA
stereo-,prefisa,pertinente a formas solida; pertinente a un efeto o ordina tridimensional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8548,NA
intensi,verbo transitiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4456,NA
injenia,verbo transitiva fisica,desinia e fabrica (un macina o strutur),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4426,NA
tecnocratia,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8848,NA
pone,verbo transitiva,move (un person o cosa) a un loca,put,meti,poner,mettre,NA,NA,NA,NA,NA,NA,NA,NA,NA,lægge,setzen,NA,NA,NA,ru: класть,7044,NA
repentor,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7540,NA
xercada,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9785,NA
bibliotecor,nom,NA,librarian,NA,NA,bibliothécaire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: ספרן,NA,NA,1070,NA
tintina,verbo nontransitiva,fa un sona clar e peti,tinkle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9013,NA
onca de pexa,nom,NA,fishhook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6199,NA
strutural,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8605,NA
reativi,verbo transitiva,NA,reactivate,NA,NA,réactiver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להפעיל מחדש,NA,NA,746,NA
cristali,nom,NA,crystallization|is,NA,NA,cristallisation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: גיבוש,NA,NA,2336,NA
preistoria,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4621,NA
retirada,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9020,NA
casa de gales,nom,NA,henhouse,NA,NA,poulailler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לוּל עופות,NA,NA,1634,NA
vose ativa,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9720,NA
con la corente,ajetivo,NA,downstream,NA,NA,dans le sens du courant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: במורד הזרם,NA,NA,2158,NA
microbiolojiste,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5533,NA
sordi,verbo transitiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8425,NA
seco,nom anatomia,un pox liada a la junta de la intestines magra e spesa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7974,NA
cauboi,nom,un om,cowboy (North American),NA,NA,cow-boy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קאובוי,NA,NA,1688,NA
nega con testa,verbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5928,NA
un pico de,espresa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6815,NA
drucpa,nom,NA,Bhutanese,NA,NA,Bhoutanais,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: בהוטני,NA,NA,2861,NA
flor de boton,nom,NA,boutonnière,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3650,NA
capelin,ajetivo,NA,hairlike,NA,NA,capillaire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דמוי-שיער,NA,NA,1523,NA
puto,nom,(ofendente) un prostituida o otra om videda como promiscua o nonplasente,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7373,NA
asta plu tarda,esclama,NA,see you later,NA,NA,à plus tard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להתראות,NA,NA,700,NA
efeto de moda,nom,NA,bandwagon effect,NA,NA,effet de mode,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אפקט העדר,NA,NA,2955,NA
Dalmasia,nom jeografial,un rejion antica corespondente a un parte de Corvatsca moderna,Dalmatia,NA,Dalmacia,Dalmatie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,דלמטיה (אזור),NA,ru: Далмация (историческая область на северо-западе Балканского полуострова,2501,NA
mapa,verbo transitiva util,crea un scema bidimensional per representa (un rejion de tera o mar),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5272,NA
combator de bove,nom,NA,bullfighter,NA,NA,torero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לוחם שוורים,NA,NA,1944,NA
paje sentral,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6408,NA
erita,verbo transitiva governa mone,reseta (mone,inherit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3228,NA
elastan,nom veste,un stofa elastica de poliuretan,elastane,NA,NA,élasthanne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לייקרה,NA,NA,2976,NA
veda,nom relijio,la scrivedas santa la plu antica en induisme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9550,NA
merenge aitian,nom musica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5451,NA
iamani,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4222,NA
de cupre,ajetivo,NA,(made of) copper,NA,NA,en cuivre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: עשוי מנחושת,NA,NA,2459,NA
ipertiroidia,nom medica,la ativia suprabundante de la tiroide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4548,NA
silica,nom tera,un composada dur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8217,NA
nonfavoreda,nom,NA,underdog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3511,NA
inserta de oso,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4432,NA
basto majial,nom,NA,wand,NA,NA,baguette magique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מטה קסם,NA,NA,980,NA
ativia volcanal,nom,NA,volcanic activity,NA,NA,activité volcanique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: פעילות וולקנית,NA,NA,746,NA
Satan,nom relijio mitolojia,la nom de la spirito xef de malia en iudisme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7874,NA
scola de opina,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7941,NA
pel de vino,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6659,NA
caramel de bur,nom,NA,butterscotch,NA,NA,caramel au beurre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: סוכריית חמאה,NA,NA,1551,NA
